07:04:58 gine001 Gilad Nevo INSERTING data into tables `log_login`fields username, ip, browser values ( gine001, 85.227.154.64, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36 )
07:04:58 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login`fields Array values 1 on conditions username = gine001
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-09-30
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-01
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-02
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-03
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-04
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-05
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-06
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-07
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-08
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-09
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-10
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-11
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-12
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-13
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-14
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-15
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-16
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-17
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-18
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-19
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-20
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-21
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-22
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-23
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-24
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-25
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-26
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-27
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-28
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-29
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-30
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-10-31
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-11-01
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-11-02
07:05:43 gine001 Gilad Nevo DELETE data from tables `timetable` on conditions customer = anst007 AND date = 2013-11-03
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-09-30, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-09-30, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-09-30, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-09-30, 8, 16, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-09-30, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-09-30, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-01, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-01, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-01, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-01, 8, 16, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-01, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-01, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-02, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-02, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( anra004, anst007, 2013-10-02, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-02, 8, 16, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( chyi001, anst007, 2013-10-02, 16, 21, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-02, 21, 24, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-03, 0, 1, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-03, 1, 5, 3, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( lima003, anst007, 2013-10-03, 5, 8, 0, 1, , jata001, , 1 )
07:05:43 gine001 Gilad Nevo INSERTING data into tables `timetable`fields employee, customer, date, time_from, time_to, type, status, comment, alloc_emp, relation_id, fkkn values ( cher005, anst007, 2013-10-03, 8, 16, 0, 1, , jata001, , 1 )
