08:05:05 gine001  DELETE data from tables `temp_session` on conditions username LIKE gine001
08:05:05 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 223.30.129.234, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/41.0.2272.76 Chrome/41.0.2272.76 Safari/537.36 ) => {inserted_id = 3715}
08:05:05 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
08:05:05 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2015-09-09 06:05:05) on conditions username = gine001
08:05:06 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = b9oabedadfmb5suie0tudc4fe7
10:59:55 gine001  DELETE data from tables `temp_session` on conditions username LIKE gine001
10:59:55 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 79.102.87.215, Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36 ) => {inserted_id = 3716}
10:59:55 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
10:59:55 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2015-09-09 08:59:55) on conditions username = gine001
10:59:55 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( error ) values (0) on conditions username = gine001
10:59:56 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 0qbt05r0i0ra69a8m0purmpqg5
12:02:50 gine001  DELETE data from tables `temp_session` on conditions username LIKE gine001
12:02:50 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 223.30.129.234, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/41.0.2272.76 Chrome/41.0.2272.76 Safari/537.36 ) => {inserted_id = 3717}
12:02:50 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
12:02:50 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2015-09-09 10:02:50) on conditions username = gine001
12:02:51 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 6h87hgudg87kscpl97karrc9f4
12:07:52 gine001  DELETE data from tables `temp_session` on conditions username LIKE gine001
12:07:52 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 223.30.129.234, Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36 ) => {inserted_id = 3718}
12:07:52 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
12:07:52 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2015-09-09 10:07:52) on conditions username = gine001
12:07:53 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = hnhd4vc2t9abs7gh0rnhtpd8f6
15:15:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 0qbt05r0i0ra69a8m0purmpqg5
15:23:43 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 0qbt05r0i0ra69a8m0purmpqg5
15:25:32 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 0qbt05r0i0ra69a8m0purmpqg5
15:26:06 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 0qbt05r0i0ra69a8m0purmpqg5
15:31:07 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-08-31, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8151}
15:31:07 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-08-31, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8152}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-01, 4, 12, 1, , gine001,  ) => {inserted_id = 8153}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-02, 4, 12, 1, , gine001,  ) => {inserted_id = 8154}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-03, 4, 12, 1, , gine001,  ) => {inserted_id = 8155}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-04, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8156}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-04, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8157}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-07, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8158}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-07, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8159}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-08, 4, 12, 1, , gine001,  ) => {inserted_id = 8160}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-09, 4, 12, 1, , gine001,  ) => {inserted_id = 8161}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-10, 4, 12, 1, , gine001,  ) => {inserted_id = 8162}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-11, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8163}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-11, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8164}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-14, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8165}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-14, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8166}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-15, 4, 12, 1, , gine001,  ) => {inserted_id = 8167}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-16, 4, 12, 1, , gine001,  ) => {inserted_id = 8168}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-17, 4, 12, 1, , gine001,  ) => {inserted_id = 8169}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-18, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8170}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-18, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8171}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 3, 2015-09-21, 4, 7.45, 1, , gine001,  ) => {inserted_id = 8172}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-21, 7.45, 12, 1, , gine001,  ) => {inserted_id = 8173}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-22, 4, 12, 1, , gine001,  ) => {inserted_id = 8174}
15:31:08 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( cher005, anst007, 1, 0, 2015-09-23, 4, 12, 1, , gine001,  ) => {inserted_id = 8175}
