10:34:16 root001 root001 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( root001, 85.227.154.202, Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.94 Safari/537.36 ) => {inserted_id = 4873}
10:34:16 root001 root001 DELETE data from tables `temp_session` on conditions username LIKE root001
10:34:16 root001 root001 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2016-05-05 10:34:16) on conditions username = root001
10:34:43 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 7tm7hdo0gcs0laoe8sctnhitd3
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 3, 2016-05-02, 3.35, 7.00, 1, , gine001,  ) => {inserted_id = 9021}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-02, 7.00, 9.55, 1, , gine001,  ) => {inserted_id = 9022}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 3, 2016-05-03, 3.35, 5.45, 1, , gine001,  ) => {inserted_id = 9023}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-03, 5.45, 9.55, 1, , gine001,  ) => {inserted_id = 9024}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 3, 2016-05-04, 3.35, 5.45, 1, , gine001,  ) => {inserted_id = 9025}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-04, 5.45, 9.55, 1, , gine001,  ) => {inserted_id = 9026}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 3, 2016-05-05, 3.35, 5.45, 1, , gine001,  ) => {inserted_id = 9027}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-05, 5.45, 9.55, 1, , gine001,  ) => {inserted_id = 9028}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 3, 2016-05-06, 3.35, 5.45, 1, , gine001,  ) => {inserted_id = 9029}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-06, 5.45, 9.55, 1, , gine001,  ) => {inserted_id = 9030}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-07, 3.35, 9.55, 1, , gine001,  ) => {inserted_id = 9031}
10:35:28 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( jata001, stal001, 1, 0, 2016-05-08, 3.35, 9.55, 1, , gine001,  ) => {inserted_id = 9032}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 0, 2016-05-02, 9.45, 11.10, 1, , gine001,  ) => {inserted_id = 9033}
10:37:51 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( thne001, stal001, 1, 3, 2016-05-02, 11.10, 11.15, 1, , gine001,  ) => {inserted_id = 9034}
