08:10:45 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 79.102.9.25, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:52.0) Gecko/20100101 Firefox/52.0 ) => {inserted_id = 6147}
08:10:45 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2017-12-06 08:10:45) on conditions username = gine001
08:10:45 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2017-12-06 08:10:45) on conditions username = gine001 AND company_id = 6
08:11:17 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 8e737d37327274b21fb41511dbab34d9
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-01, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12420}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-02, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12421}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-03, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12422}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-03, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12423}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-04, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12424}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-05, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12425}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-05, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12426}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-06, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12427}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-06, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12428}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-07, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12429}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-08, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12430}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-09, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12431}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-10, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12432}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-10, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12433}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-11, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12434}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-12, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12435}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-12, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12436}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-13, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12437}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-13, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12438}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-14, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12439}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-15, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12440}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-16, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12441}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-17, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12442}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-17, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12443}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-18, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12444}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-19, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12445}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-19, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12446}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-20, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12447}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-20, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12448}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-21, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12449}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-22, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12450}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-23, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12451}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 3, 2017-11-24, 3, 6.00, 1, , gine001,  ) => {inserted_id = 12452}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-24, 6.00, 7.30, 1, , gine001,  ) => {inserted_id = 12453}
08:12:10 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( last002, anst007, 1, 0, 2017-11-25, 3, 7.30, 1, , gine001,  ) => {inserted_id = 12454}
