04:26:33 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 171.5.22.222, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0 ) => {inserted_id = 10846}
04:26:33 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
04:26:33 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2019-12-28 04:26:33) on conditions username = gine001
04:26:33 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2019-12-28 04:26:33) on conditions username = gine001 AND company_id = 6
04:26:35 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 67bd10c5dff54bc9293963dd0705eb54
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-10, 9, 15, 1, , gine001,  ) => {inserted_id = 17355}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-11, 9, 15, 1, , gine001,  ) => {inserted_id = 17356}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-13, 9, 15, 1, , gine001,  ) => {inserted_id = 17357}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-14, 9, 15, 1, , gine001,  ) => {inserted_id = 17358}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-16, 9, 15, 1, , gine001,  ) => {inserted_id = 17359}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-17, 9, 15, 1, , gine001,  ) => {inserted_id = 17360}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-18, 9, 15, 1, , gine001,  ) => {inserted_id = 17361}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-20, 9, 15, 1, , gine001,  ) => {inserted_id = 17362}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-21, 9, 15, 1, , gine001,  ) => {inserted_id = 17363}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-23, 9, 15, 1, , gine001,  ) => {inserted_id = 17364}
04:40:20 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( lima003, anst007, 1, 0, 2019-12-24, 9, 15, 1, , gine001,  ) => {inserted_id = 17365}
