09:29:17 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 182.68.238.52, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36 ) => {inserted_id = 15499}
09:29:17 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
09:29:17 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-18 09:29:17) on conditions username = dodo001
09:29:17 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-18 09:29:17) on conditions username = dodo001 AND company_id = 6
09:29:18 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = khvfkdlviia0906se45ir9qj96
09:29:26 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
09:29:26 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (0, 2021-02-18 09:29:26) on conditions username = dodo001
09:29:26 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-18 09:29:26) on conditions username = dodo001 AND company_id = 6
09:29:26   UPDATING data to tables `log_login` fields ( logout_time ) values (2021-02-18:08:29:26) on conditions id = 15499 AND username = dodo001
09:29:42 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 124.123.178.58, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36 ) => {inserted_id = 15500}
09:29:42 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
09:29:42 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-18 09:29:42) on conditions username = dodo001
09:29:42 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-18 09:29:42) on conditions username = dodo001 AND company_id = 6
09:29:43 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (dodo001) on conditions session_id = q14set11cknat9pqf1ahuqo1c3
10:02:18 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( error ) values (0) on conditions username = gine001 AND company_id = 6
10:02:18 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 89.233.236.131, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0 ) => {inserted_id = 15501}
10:02:18 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
10:02:18 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-18 10:02:18) on conditions username = gine001
10:02:18 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-18 10:02:18) on conditions username = gine001 AND company_id = 6
10:02:19 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 82e3426ofhas3e2vg6hkl6jm47
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-01, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18570}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `memory_slots` fields ( customer, time_from, time_to, type ) values ( adan001, 6, 7.00, 3 ) => {inserted_id = 695}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-01, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18571}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `memory_slots` fields ( customer, time_from, time_to, type ) values ( adan001, 7.00, 13, 0 ) => {inserted_id = 696}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-02, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18572}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-02, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18573}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-03, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18574}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-03, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18575}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-04, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18576}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-04, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18577}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-05, 6, 13, 1, , gine001,  ) => {inserted_id = 18578}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `memory_slots` fields ( customer, time_from, time_to, type ) values ( adan001, 6, 13, 0 ) => {inserted_id = 697}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-06, 6, 13, 1, , gine001,  ) => {inserted_id = 18579}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-07, 6, 13, 1, , gine001,  ) => {inserted_id = 18580}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-08, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18581}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-08, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18582}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-09, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18583}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-09, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18584}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-10, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18585}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-10, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18586}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-11, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18587}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-11, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18588}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-12, 6, 13, 1, , gine001,  ) => {inserted_id = 18589}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-13, 6, 13, 1, , gine001,  ) => {inserted_id = 18590}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-14, 6, 13, 1, , gine001,  ) => {inserted_id = 18591}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-15, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18592}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-15, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18593}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-16, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18594}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-16, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18595}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-17, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18596}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-17, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18597}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-18, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18598}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-18, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18599}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-19, 6, 13, 1, , gine001,  ) => {inserted_id = 18600}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-20, 6, 13, 1, , gine001,  ) => {inserted_id = 18601}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-21, 6, 13, 1, , gine001,  ) => {inserted_id = 18602}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-22, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18603}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-22, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18604}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-23, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18605}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-23, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18606}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-24, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18607}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-24, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18608}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-25, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18609}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-25, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18610}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-26, 6, 13, 1, , gine001,  ) => {inserted_id = 18611}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-27, 6, 13, 1, , gine001,  ) => {inserted_id = 18612}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-28, 6, 13, 1, , gine001,  ) => {inserted_id = 18613}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-29, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18614}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-29, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18615}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-09-30, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18616}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-09-30, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18617}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-01, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18618}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-01, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18619}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-02, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18620}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-02, 7.00, 13, 1, , gine001,  ) => {inserted_id = 18621}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-03, 6, 13, 1, , gine001,  ) => {inserted_id = 18622}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-04, 6, 13, 1, , gine001,  ) => {inserted_id = 18623}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 0, 2020-10-05, 6, 13, 1, , gine001,  ) => {inserted_id = 18624}
10:03:56 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( joso004, adan001, 2, 3, 2020-10-06, 6, 7.00, 1, , gine001,  ) => {inserted_id = 18625}
