05:31:57 gine001 Gilad Nevo1 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 171.5.25.88, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0 ) => {inserted_id = 7990}
05:31:57 gine001 Gilad Nevo1 DELETE data from tables `temp_session` on conditions username LIKE gine001
05:31:57 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-01-02 05:31:57) on conditions username = gine001
05:31:57 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-01-02 05:31:57) on conditions username = gine001 AND company_id = 21
05:32:02 gine001 Gilad Nevo1 INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 171.5.25.88, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:68.0) Gecko/20100101 Firefox/68.0 ) => {inserted_id = 7991}
05:32:02 gine001 Gilad Nevo1 DELETE data from tables `temp_session` on conditions username LIKE gine001
05:32:02 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2020-01-02 05:32:02) on conditions username = gine001
05:32:02 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2020-01-02 05:32:02) on conditions username = gine001 AND company_id = 21
05:32:03 gine001 Gilad Nevo1 UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = 546d186f3b26ddbbe6bc7f9e4d0c3f61
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-01, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2524}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-02, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2525}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-03, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2526}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-06, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2527}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-07, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2528}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-08, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2529}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-09, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2530}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-10, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2531}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-13, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2532}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-14, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2533}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-15, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2534}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-16, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2535}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-17, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2536}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-20, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2537}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-21, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2538}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-22, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2539}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-23, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2540}
05:35:38 gine001 Gilad Nevo1 INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , amom001, 1, 0, 2020-01-24, 15, 19.30, 0, , gine001,  ) => {inserted_id = 2541}
